technique_id,name,description,tactics_str,platforms,entity_count,group_count,software_count,frequency_category,total_score,all_entities,groups,software,Claude Classification,Claude Reasoning,Claude Network_Artifact,Gork Classification,Grok Reasoning,Gork Network Artifact,GPT Classification,GPT Reasoning,GPT Network Artifact,Gemini Classification,Gemini Reasoning,Gemini Network Artifact
T1134.002,Create Process with Token,Adversaries may create a new process with an existing token to escalate privileges and bypass access controls. Processes can be created with the token and resulting security context of another user using features such as <code>CreateProcessWithTokenW</code> and <code>runas</code>.(Citation: Microsof...,"defense-evasion, privilege-escalation",Windows,2,1,1,Medium,40.8,"Bankshot, Lazarus Group",Lazarus Group,Bankshot,NO,Token manipulation is local security operation,None,NO,Local process creation no network traffic,None,NO,Creates process with another token,None,NO,Local token manipulation is invisible,None
T1497,Virtualization/Sandbox Evasion,"Adversaries may employ various means to detect and avoid virtualization and analysis environments. This may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment (VME) or sandbox. If the adversary detects a VME, they may a...","defense-evasion, discovery","Linux, macOS, Windows",2,0,2,Medium,39.7,"Carberp, IcedID",,"Carberp, IcedID",NO,VM/sandbox evasion checks are local system queries,None,NO,Local evasion checks no network traffic,None,NO,Evasion via virtualization checks,None,NO,Local environment checks are invisible,None
T1497.001,System Checks,"Adversaries may employ various system checks to detect and avoid virtualization and analysis environments. This may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment (VME) or sandbox. If the adversary detects a VME, th...","defense-evasion, discovery","Linux, macOS, Windows",2,0,2,Medium,39.7,"Dyre, QakBot",,"Dyre, QakBot",NO,System VM checks are local hardware queries,None,NO,Local system checks no network traffic,None,NO,Performs system checks for sandbox,None,NO,Local system query is invisible,None
T1132.001,Standard Encoding,Adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect. Command and control (C2) information can be encoded using a standard data encoding system that adheres to existing protocol specifications. Common data encodi...,command-and-control,"ESXi, Linux, Windows, macOS",4,1,3,Common,39.4,"Carbanak, Lazarus Group, QakBot, TrickBot",Lazarus Group,"Carbanak, QakBot, TrickBot",PARTIAL,Encoding in payload requires unencrypted traffic to detect,"Base64 patterns in cleartext, unusual content",PARTIAL,Encoded C2 traffic if payload visible,Encoding patterns,PARTIAL,Encodes data using standard methods,Base64 data in traffic,YES,Encoded patterns visible in headers/body,Base64/Hex strings in HTTP/DNS
T1185,Browser Session Hijacking,"Adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify user-behaviors, and intercept information as part of various browser session hijacking techniques.(Citation: Wikipedia Man in the Browser)

A specific example is when a...",collection,Windows,6,0,6,High-Priority,39,"Carberp, Dridex, IcedID, QakBot, TrickBot, Ursnif",,"Carberp, Dridex, IcedID, QakBot, TrickBot, Ursnif",NO,Browser session hijacking is local browser operation,None,NO,Local browser manipulation no network traffic,None,PARTIAL,Hijacks browser sessions; observable via cookies reuse,"Repeated session tokens, cookie reuse patterns",PARTIAL,Replay of session cookie visible if unencrypted,Cookie reuse from new IP
T1124,System Time Discovery,"An adversary may gather the system time and/or time zone settings from a local or remote system. The system time is set and stored by services, such as the Windows Time Service on Windows or <code>systemsetup</code> on macOS.(Citation: MSDN System Time)(Citation: Technet Windows Time Service)(Citati...",discovery,"ESXi, Linux, macOS, Network Devices, Windows",3,1,2,Medium,38.4,"Lazarus Group, QakBot, Zeus Panda",Lazarus Group,"QakBot, Zeus Panda",NO,System time discovery is local NTP/system query,None,NO,Local time discovery no network traffic,None,NO,Discovers system time locally,None,NO,Local time query is invisible,None
T1614.001,System Language Discovery,"Adversaries may attempt to gather information about the system language of a victim in order to infer the geographical location of that host. This information may be used to shape follow-on behaviors, including whether the adversary infects the target and/or attempts specific actions. This decision ...",discovery,"Linux, macOS, Windows",3,1,2,Medium,38.4,"IcedID, Malteiro, Zeus Panda",Malteiro,"IcedID, Zeus Panda",NO,Language discovery queries local system settings,None,NO,Local language discovery no network traffic,None,NO,Checks system language locally,None,NO,Local locale query is invisible,None
T1069,Permission Groups Discovery,"Adversaries may attempt to discover group and permission settings. This information can help adversaries determine which user accounts and groups are available, the membership of users in particular groups, and which users and groups have elevated permissions.

Adversaries may attempt to discover gr...",discovery,"Containers, IaaS, Identity Provider, Linux, macOS, Office Suite, SaaS, Windows",3,1,2,Medium,38.4,"IcedID, TA505, TrickBot",TA505,"IcedID, TrickBot",PARTIAL,Permission group discovery may query AD over network,LDAP/AD enumeration queries,NO,Can be local groups no network traffic,None,PARTIAL,Queries permission groups; may generate LDAP traffic,LDAP queries for group info,NO,Local group query is invisible,None
T1113,Screen Capture,Adversaries may attempt to take screen captures of the desktop to gather information over the course of an operation. Screen capturing functionality may be included as a feature of a remote access tool used in post-compromise operations. Taking a screenshot is also typically possible through native ...,collection,"Linux, Windows, macOS",5,1,4,Common,38,"Carbanak, Carberp, Silence, Ursnif, Zeus Panda",Silence,"Carbanak, Carberp, Ursnif, Zeus Panda",NO,Screen capture is local display operation,None,NO,Local screen capture no network traffic,None,NO,Captures screen images locally,None,NO,Local screenshot capture is invisible,None
T1055.004,Asynchronous Procedure Call,"Adversaries may inject malicious code into processes via the asynchronous procedure call (APC) queue in order to evade process-based defenses as well as possibly elevate privileges. APC injection is a method of executing arbitrary code in the address space of a separate live process. 

APC injection...","defense-evasion, privilege-escalation",Windows,2,0,2,Medium,36.8,"Carberp, IcedID",,"Carberp, IcedID",NO,APC injection is local memory operation,None,NO,Local APC injection no network traffic,None,NO,Uses APC injection locally,None,NO,Local memory injection is invisible,None
T1055.002,Portable Executable Injection,"Adversaries may inject portable executables (PE) into processes in order to evade process-based defenses as well as possibly elevate privileges. PE injection is a method of executing arbitrary code in the address space of a separate live process. 

PE injection is commonly performed by copying code ...","defense-evasion, privilege-escalation",Windows,2,0,2,Medium,36.8,"Carbanak, Zeus Panda",,"Carbanak, Zeus Panda",NO,PE injection is local memory operation,None,NO,Local PE injection no network traffic,None,NO,Injects PE files into processes,None,NO,Local memory injection is invisible,None
T1484.001,Group Policy Modification,"Adversaries may modify Group Policy Objects (GPOs) to subvert the intended discretionary access controls for a domain, usually with the intention of escalating privileges on the domain. Group policy allows for centralized management of user and computer settings in Active Directory (AD). GPOs are co...","defense-evasion, privilege-escalation",Windows,1,1,0,Rare,35.8,Indrik Spider,Indrik Spider,,PARTIAL,GPO modification may generate AD replication traffic,AD/LDAP modification traffic,NO,Local GPO modification no network traffic,None,PARTIAL,Modifies Group Policy over network,SMB/RPC modifications on domain controller,PARTIAL,Replication of GPO objects visible on wire,SMB traffic to SYSVOL
T1078.002,Domain Accounts,"Adversaries may obtain and abuse credentials of a domain account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion.(Citation: TechNet Credential Theft) Domain accounts are those managed by Active Directory Domain Services where access and permissions are con...","defense-evasion, persistence, privilege-escalation, initial-access","ESXi, Linux, macOS, Windows",2,2,0,Medium,35.45,"Indrik Spider, TA505","Indrik Spider, TA505",,PARTIAL,Domain account abuse shows in auth traffic patterns,"Unusual auth sources, timing",NO,Can be local use no network traffic,None,PARTIAL,Uses compromised domain accounts over network,Abnormal domain logins,PARTIAL,Remote logon visible via Kerberos/NTLM,Kerberos TGT/TGS requests
T1486,Data Encrypted for Impact,Adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources. They can attempt to render stored data inaccessible by encrypting files or data on local and remote drives and withholding access to a decryption key....,impact,"ESXi, IaaS, Linux, macOS, Windows",3,3,0,Medium,34.8,"APT38, Indrik Spider, TA505","APT38, Indrik Spider, TA505",,PARTIAL,Ransomware may show C2 for key exchange,"C2 communication, bulk file operation traces",NO,Local data encryption no network traffic,None,NO,Encrypts data for impact locally,None,PARTIAL,Network share encryption generates high write vol,High frequency SMB Write requests
T1573.002,Asymmetric Cryptography,"Adversaries may employ a known asymmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. Asymmetric cryptography, also known as public key cryptography, uses a keypair per party: one public that can be...",command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",3,1,2,Medium,34.4,"Cobalt Group, Dridex, IcedID",Cobalt Group,"Dridex, IcedID",PARTIAL,Asymmetric crypto hides payload; metadata visible,"Connection timing, certificate anomalies",PARTIAL,Encrypted C2 metadata analyzable,"Handshake patterns, flows",PARTIAL,Uses asymmetric encryption for C2,Encrypted C2 sessions metadata,PARTIAL,TLS usage visible but payload blind,"TLS handshake, cert exchange"
T1518,Software Discovery,"Adversaries may attempt to get a listing of software and software versions that are installed on a system or in a cloud environment. Adversaries may use the information from [Software Discovery](https://attack.mitre.org/techniques/T1518) during automated discovery to shape follow-on behaviors, inclu...",discovery,"ESXi, IaaS, Linux, macOS, Windows",3,0,3,Medium,34.4,"Dridex, Dyre, QakBot",,"Dridex, Dyre, QakBot",NO,Software discovery queries local system,None,NO,Local software discovery no network traffic,None,NO,Discovers installed software locally,None,NO,Local registry query is invisible,None
T1482,Domain Trust Discovery,Adversaries may attempt to gather information on domain trust relationships that may be used to identify lateral movement opportunities in Windows multi-domain/forest environments. Domain trusts provide a mechanism for a domain to allow access to resources based on the authentication procedures of a...,discovery,Windows,3,0,3,Medium,34.4,"IcedID, QakBot, TrickBot",,"IcedID, QakBot, TrickBot",PARTIAL,Domain trust discovery may generate LDAP/AD queries,"LDAP queries, AD enumeration traffic",YES,Trust queries generate network traffic,"LDAP, Netlogon requests",YES,Discovers domain trusts via network queries,LDAP/SMB trust enumeration traffic,YES,Trust enumeration traffic visible (RPC/LDAP),DsEnumerateDomainTrusts call
T1583.001,Domains,"Adversaries may acquire domains that can be used during targeting. Domain names are the human readable names used to represent one or more IP addresses. They can be purchased or, in some cases, acquired for free.

Adversaries may use acquired domains for a variety of purposes, including for [Phishin...",resource-development,PRE,3,3,0,Medium,34,"APT38, Lazarus Group, TA505","APT38, Lazarus Group, TA505",,NO,Domain acquisition occurs outside target network,None,NO,Pre-attack domain acquisition no victim network,None,NO,Acquires domain names offline,None,YES,Registration/Lookup visible in DNS/Whois,"New domain registration, DNS query"
T1110,Brute Force,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained.(Citation: TrendMicro Pawn Storm Dec 2020) Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password usi...",credential-access,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows",3,2,1,Medium,33.4,"APT38, DarkVishnya, QakBot","APT38, DarkVishnya",QakBot,YES,Brute force attempts generate multiple auth requests,"Auth failure spikes, source anomalies",PARTIAL,Brute attempts generate auth traffic,Failed login spikes,YES,Brute-forces credentials over network,Repeated authentication attempts,YES,High volume of failed auth attempts,"Kerberos/NTLM failure codes, volume"
T1102.002,Bidirectional Communication,"Adversaries may use an existing, legitimate external Web service as a means for sending commands to and receiving output from a compromised system over the Web service channel. Compromised systems may leverage popular websites and social media to host command and control (C2) instructions. Those inf...",command-and-control,"Linux, macOS, Windows, ESXi",2,2,0,Medium,33.4,"Carbanak, Lazarus Group","Carbanak, Lazarus Group",,PARTIAL,Web service C2 blends with legitimate HTTPS traffic,"Unusual API patterns, timing anomalies",PARTIAL,C2 via web services anomalies possible,Beaconing to sites,PARTIAL,Uses bidirectional web services for C2,HTTP/S communication with web service,PARTIAL,Traffic to legit service visible; content hidden,"Flow to Twitter/Google, timing"
T1680,Local Storage Discovery,"Adversaries may enumerate local drives, disks, and/or volumes and their attributes like total or free space and volume serial number. This can be done to prepare for ransomware-related encryption, to perform [Lateral Movement](https://attack.mitre.org/tactics/TA0109), or as a precursor to [Direct Vo...",discovery,"ESXi, IaaS, Linux, macOS, Windows",2,1,1,Medium,33.4,"Bankshot, Lazarus Group",Lazarus Group,Bankshot,NO,Local storage discovery queries local disk/volume info,None,NO,Local storage discovery no network traffic,None,NO,Discovers local storage locations,None,NO,Local drive enumeration is invisible,None
T1010,Application Window Discovery,"Adversaries may attempt to get a listing of open application windows. Window listings could convey information about how the system is used.(Citation: Prevailion DarkWatchman 2021) For example, information about application windows could be used identify potential data to collect as well as identify...",discovery,"Linux, Windows, macOS",2,1,1,Medium,33.4,"Lazarus Group, QakBot",Lazarus Group,QakBot,NO,Application window discovery is local UI query,None,NO,Local window discovery no network traffic,None,NO,Enumerates application windows locally,None,NO,Local window enumeration is invisible,None
T1552.001,Credentials In Files,"Adversaries may search local file systems and remote file shares for files containing insecurely stored credentials. These can be files created by users to store their own credentials, shared credential stores for a group of individuals, configuration files containing passwords for a system or servi...",credential-access,"Containers, IaaS, Linux, macOS, Windows",3,2,1,Medium,33.4,"Indrik Spider, TA505, TrickBot","Indrik Spider, TA505",TrickBot,NO,Credentials in files is local filesystem search,None,NO,Local file credential search no network,None,NO,Searches for credentials in files locally,None,PARTIAL,Network share search visible; local invisible,SMB Read of config files
T1087.003,Email Account,"Adversaries may attempt to get a listing of email addresses and accounts. Adversaries may try to dump Exchange address lists such as global address lists (GALs).(Citation: Microsoft Exchange Address Lists)

In on-premises Exchange and Exchange Online, the <code>Get-GlobalAddressList</code> PowerShel...",discovery,"Windows, Office Suite",2,1,1,Medium,33.4,"TA505, TrickBot",TA505,TrickBot,PARTIAL,Email account enumeration may generate Exchange queries,Exchange/LDAP queries,PARTIAL,Email account queries may generate traffic,Exchange queries,PARTIAL,Discovers email accounts via network,Email server queries,NO,Local outlook address book query invisible,None
T1021.004,SSH,"Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into remote machines using Secure Shell (SSH). The adversary may then perform actions as the logged-on user.

SSH is a protocol that allows authorized users to open remote shells on other computers. Many Linux and...",lateral-movement,"ESXi, Linux, macOS",3,3,0,Medium,32.2,"GCMAN, Indrik Spider, Lazarus Group","GCMAN, Indrik Spider, Lazarus Group",,PARTIAL,SSH encrypted but connection metadata observable,"Connection patterns, key exchange anomalies",PARTIAL,SSH encrypted but metadata observable,"SSH connections, auth",PARTIAL,SSH sessions encrypted; monitor metadata,"SSH handshake patterns, timing",PARTIAL,Encrypted flow; anomaly detection required,"SSH handshake, unusual source"
T1055.005,Thread Local Storage,"Adversaries may inject malicious code into processes via thread local storage (TLS) callbacks in order to evade process-based defenses as well as possibly elevate privileges. TLS callback injection is a method of executing arbitrary code in the address space of a separate live process. 

TLS callbac...","defense-evasion, privilege-escalation",Windows,1,0,1,Rare,31.8,Ursnif,,Ursnif,NO,TLS callback injection is local memory operation,None,NO,Local TLS injection no network traffic,None,NO,Manipulates thread local storage locally,None,NO,Local code injection is invisible,None
T1574.013,KernelCallbackTable,Adversaries may abuse the <code>KernelCallbackTable</code> of a process to hijack its execution flow in order to run their own payloads.(Citation: Lazarus APT January 2022)(Citation: FinFisher exposed ) The <code>KernelCallbackTable</code> can be found in the Process Environment Block (PEB) and is i...,"persistence, privilege-escalation, defense-evasion",Windows,1,1,0,Rare,30.33,Lazarus Group,Lazarus Group,,NO,KernelCallbackTable manipulation is local memory operation,None,NO,Local kernel hijacking no network traffic,None,NO,Modifies KernelCallbackTable for hijacking,None,NO,Local table modification is invisible,None
T1056.004,Credential API Hooking,Adversaries may hook into Windows application programming interface (API) functions and Linux system functions to collect user credentials. Malicious hooking mechanisms may capture API or function calls that include parameters that reveal user authentication credentials.(Citation: Microsoft TrojanSp...,"collection, credential-access","Windows, Linux, macOS",4,0,4,Common,29.7,"Carberp, TrickBot, Ursnif, Zeus Panda",,"Carberp, TrickBot, Ursnif, Zeus Panda",NO,API hooking for credentials is local memory operation,None,NO,Local API hooking no network traffic,None,NO,Hooks credential APIs locally,None,NO,Local API hooking is invisible,None
T1087.001,Local Account,"Adversaries may attempt to get a listing of local system accounts. This information can help adversaries determine which local accounts exist on a system to aid in follow-on behavior.

Commands such as <code>net user</code> and <code>net localgroup</code> of the [Net](https://attack.mitre.org/softwa...",discovery,"ESXi, Linux, macOS, Windows",2,0,2,Medium,29.4,"Bankshot, TrickBot",,"Bankshot, TrickBot",NO,Local account enumeration queries local SAM,None,NO,Local account discovery no network traffic,None,NO,Discovers local accounts locally,None,NO,Local user query is invisible,None
T1087.002,Domain Account,"Adversaries may attempt to get a listing of domain accounts. This information can help adversaries determine which domain accounts exist to aid in follow-on behavior such as targeting specific accounts which possess particular privileges.

Commands such as <code>net user /domain</code> and <code>net...",discovery,"Linux, macOS, Windows",2,0,2,Medium,29.4,"Bankshot, IcedID",,"Bankshot, IcedID",PARTIAL,Domain account enumeration may generate AD traffic,"LDAP queries, AD enumeration",PARTIAL,Domain queries generate network traffic,LDAP account requests,YES,Discovers domain accounts via network queries,LDAP/SMB enumeration traffic,YES,LDAP enumeration of users visible,LDAP queries for user objects
T1001.003,Protocol or Service Impersonation,"Adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts. By impersonating legitimate protocols or web services, adversaries can make their command and control traffic blend in with legitimate network traffic.  

Adv...",command-and-control,"ESXi, Linux, macOS, Windows",2,1,1,Medium,29.4,"Bankshot, Lazarus Group",Lazarus Group,Bankshot,PARTIAL,Protocol impersonation may show subtle deviations,"Protocol compliance anomalies, timing patterns",PARTIAL,Impersonated traffic shows anomalies,Protocol violations,PARTIAL,Impersonates protocols/services for C2,Protocol handshake anomalies,PARTIAL,Protocol mismatch or anomaly detectable,"Non-standard headers, port mismatch"
T1008,Fallback Channels,Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.,command-and-control,"Linux, Windows, macOS, ESXi",2,1,1,Medium,29.4,"Lazarus Group, TrickBot",Lazarus Group,TrickBot,YES,Fallback channel switching creates detectable patterns,"Connection sequence changes, multiple C2 endpoints",PARTIAL,Fallback C2 switching detectable,Endpoint changes,PARTIAL,Uses fallback C2 channels,Backup communication flows,YES,Switch to secondary C2 channel visible,New connection to diff dest/port
T1572,Protocol Tunneling,Adversaries may tunnel network communications to and from a victim system within a separate protocol to avoid detection/network filtering and/or enable access to otherwise unreachable systems. Tunneling involves explicitly encapsulating a protocol within another. This behavior may conceal malicious ...,command-and-control,"ESXi, Linux, macOS, Windows",2,1,1,Medium,29.4,"Cobalt Group, QakBot",Cobalt Group,QakBot,PARTIAL,Tunneled protocols detectable via encapsulation anomalies,"Protocol header anomalies, DNS/HTTP tunnel patterns",PARTIAL,Tunneled traffic metadata anomalies,Nested protocol flows,PARTIAL,Tunnels protocols within others,Encapsulated traffic patterns,YES,Tunneling artifacts visible in headers/size,"SSH over HTTP, DNS tunneling"
T1217,Browser Information Discovery,"Adversaries may enumerate information about browsers to learn more about compromised environments. Data saved by browsers (such as bookmarks, accounts, and browsing history) may reveal a variety of personal information about users (e.g., banking sites, relationships/interests, social media, etc.) as...",discovery,"Linux, macOS, Windows",1,1,0,Rare,28.4,APT38,APT38,,NO,Browser info discovery reads local browser files,None,NO,Local browser info no network traffic,None,NO,Gathers browser information locally,None,NO,Local file access is invisible,None
T1003.001,LSASS Memory,"Adversaries may attempt to access credential material stored in the process memory of the Local Security Authority Subsystem Service (LSASS). After a user logs on, the system generates and stores a variety of credential materials in LSASS process memory. These credential materials can be harvested b...",credential-access,Windows,2,2,0,Medium,28.4,"Indrik Spider, Silence","Indrik Spider, Silence",,NO,LSASS memory access is local memory operation,None,NO,Local memory dumping no network traffic,None,NO,Dumps credentials from LSASS locally,None,NO,Local memory access is invisible,None
T1569.002,Service Execution,Adversaries may abuse the Windows service control manager to execute malicious commands or payloads. The Windows service control manager (<code>services.exe</code>) is an interface to manage and manipulate services.(Citation: Microsoft Service Control Manager) The service control manager is accessib...,execution,Windows,2,2,0,Medium,28.4,"APT38, Silence","APT38, Silence",,NO,Service execution is local SCM operation,None,NO,Local service execution no network traffic,None,PARTIAL,Executes services remotely over RPC,Service control RPC calls,NO,Local service start is invisible,None
T1559.002,Dynamic Data Exchange,"Adversaries may use Windows Dynamic Data Exchange (DDE) to execute arbitrary commands. DDE is a client-server protocol for one-time and/or continuous inter-process communication (IPC) between applications. Once a link is established, applications can autonomously exchange transactions consisting of ...",execution,Windows,2,2,0,Medium,28.4,"Cobalt Group, TA505","Cobalt Group, TA505",,NO,DDE execution is local inter-process operation,None,NO,Local DDE execution no network traffic,None,NO,Executes code via Dynamic Data Exchange locally,None,NO,Local IPC is invisible,None
T1068,Exploitation for Privilege Escalation,"Adversaries may exploit software vulnerabilities in an attempt to elevate privileges. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controll...",privilege-escalation,"Containers, Linux, macOS, Windows",2,1,1,Medium,27.6,"Carberp, Cobalt Group",Cobalt Group,Carberp,NO,Local privilege escalation exploits are host-based,None,NO,Local privilege exploit no network traffic,None,NO,Exploits local privilege escalation vulnerabilities,None,NO,Local kernel exploit is invisible,None
T1485,Data Destruction,"Adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources. Data destruction is likely to render stored data irrecoverable by forensic techniques through overwriting files or data on local and remo...",impact,"Containers, ESXi, IaaS, Linux, macOS, Windows",2,2,0,Medium,25.8,"APT38, Lazarus Group","APT38, Lazarus Group",,NO,Data destruction is local filesystem operation,None,NO,Local data destruction no network traffic,None,NO,Destroys data locally,None,PARTIAL,Network share deletion visible; local invisible,Mass SMB Delete requests
T1561.002,Disk Structure Wipe,"Adversaries may corrupt or wipe the disk data structures on a hard drive necessary to boot a system; targeting specific critical systems or in large numbers in a network to interrupt availability to system and network resources. 

Adversaries may attempt to render the system unable to boot by overwr...",impact,"Linux, macOS, Windows, Network Devices",2,2,0,Medium,25.8,"APT38, Lazarus Group","APT38, Lazarus Group",,NO,Disk structure wipe is local disk operation,None,NO,Local disk wipe no network traffic,None,NO,Wipes disk structure locally,None,NO,Local disk wipe is invisible,None
T1529,System Shutdown/Reboot,"Adversaries may shutdown/reboot systems to interrupt access to, or aid in the destruction of, those systems. Operating systems may contain commands to initiate a shutdown/reboot of a machine or network device. In some cases, these commands may also be used to initiate a shutdown/reboot of a remote c...",impact,"ESXi, Linux, macOS, Network Devices, Windows",2,2,0,Medium,25.8,"APT38, Lazarus Group","APT38, Lazarus Group",,NO,System shutdown is local system command,None,NO,Local shutdown no network traffic,None,NO,Shuts down or reboots system,None,NO,Local shutdown command is invisible,None
T1489,Service Stop,Adversaries may stop or disable services on a system to render those services unavailable to legitimate users. Stopping critical services or processes can inhibit or stop response to an incident or aid in the adversary's overall objectives to cause damage to the environment.(Citation: Talos Olympic ...,impact,"ESXi, IaaS, Linux, macOS, Windows",2,2,0,Medium,25.8,"Indrik Spider, Lazarus Group","Indrik Spider, Lazarus Group",,NO,Service stop is local SCM operation,None,NO,Local service stop no network traffic,None,NO,Stops services locally,None,NO,Local service stop is invisible,None
T1568.002,Domain Generation Algorithms,"Adversaries may make use of Domain Generation Algorithms (DGAs) to dynamically identify a destination domain for command and control traffic rather than relying on a list of static IP addresses or domains. This has the advantage of making it much harder for defenders to block, track, or take over th...",command-and-control,"Linux, macOS, Windows, ESXi",2,0,2,Medium,25.4,"QakBot, Ursnif",,"QakBot, Ursnif",YES,DGA domains detectable via DNS query entropy analysis,"High-entropy domain names, query patterns",PARTIAL,DGA generates DNS query patterns,High-volume DNS queries,YES,Generates random domains for C2,High-volume random DNS queries,YES,High volume of NXDOMAIN responses,"High entropy domains, NXDOMAIN"
T1090.003,Multi-hop Proxy,"Adversaries may chain together multiple proxies to disguise the source of malicious traffic. Typically, a defender will be able to identify the last proxy traffic traversed before it enters their network; the defender may or may not be able to identify any previous proxies before the last-hop proxy....",command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",2,0,2,Medium,25.4,"Dridex, Ursnif",,"Dridex, Ursnif",PARTIAL,Multi-hop proxies visible as connection chains,"Sequential connections, timing correlation",PARTIAL,Multi-hop shows unusual flow chains,Chained connections,PARTIAL,Uses multi-hop proxies,Multiple chained proxy connections,PARTIAL,Only first hop visible to NIDS,Connection to proxy node
T1090,Proxy,Adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure. Many tools exist that enable traffic redirection through proxies or port redirect...,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",2,0,2,Medium,25.4,"Dridex, Ursnif",,"Dridex, Ursnif",PARTIAL,Proxy usage visible but encrypted content not inspectable,"Connection patterns, known proxy endpoints",PARTIAL,Proxy traffic anomalies detectable,Unusual proxy flows,PARTIAL,Uses proxy to route traffic,Proxy connection metadata,YES,Connection to proxy infrastructure visible,Flow to known proxy IP
T1585.002,Email Accounts,"Adversaries may create email accounts that can be used during targeting. Adversaries can use accounts created with email providers to further their operations, such as leveraging them to conduct [Phishing for Information](https://attack.mitre.org/techniques/T1598) or [Phishing](https://attack.mitre....",resource-development,PRE,2,2,0,Medium,25,"Indrik Spider, Lazarus Group","Indrik Spider, Lazarus Group",,NO,Email account creation occurs outside target network,None,NO,Pre-attack account creation no victim network,None,NO,Obtains email accounts offline,None,YES,Creation of account visible if monitored,Traffic to webmail signup
T1588.001,Malware,"Adversaries may buy, steal, or download malware that can be used during targeting. Malicious software can include payloads, droppers, post-compromise tools, backdoors, packers, and C2 protocols. Adversaries may acquire malware to support their operations, obtaining a means for maintaining control of...",resource-development,PRE,2,2,0,Medium,25,"Andariel, TA505","Andariel, TA505",,NO,Malware acquisition occurs outside target network,None,NO,Pre-attack malware acquisition no victim network,None,NO,Acquires malware externally,None,YES,Download of malware visible on wire,"File hash, signature match"
T1584.004,Server,"Adversaries may compromise third-party servers that can be used during targeting. Use of servers allows an adversary to stage, launch, and execute an operation. During post-compromise activity, adversaries may utilize servers for various tasks, including for Command and Control.(Citation: TrendMicro...",resource-development,PRE,2,2,0,Medium,25,"Indrik Spider, Lazarus Group","Indrik Spider, Lazarus Group",,NO,Server compromise occurs outside target network,None,NO,Pre-attack server compromise no victim network,None,NO,Acquires servers/infrastructure,None,NO,Acquisition happens out of band,None
T1587.001,Malware,"Adversaries may develop malware and malware components that can be used during targeting. Building malicious software can include the development of payloads, droppers, post-compromise tools, backdoors (including backdoored images), packers, C2 protocols, and the creation of infected removable media...",resource-development,PRE,2,2,0,Medium,25,"Indrik Spider, Lazarus Group","Indrik Spider, Lazarus Group",,NO,Malware development occurs outside target network,None,NO,Pre-attack malware development no victim network,None,NO,Develops malware resources offline,None,NO,Development happens out of band,None
T1071.004,DNS,"Adversaries may communicate using the Domain Name System (DNS) application layer protocol to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client...",command-and-control,"Linux, macOS, Windows, Network Devices, ESXi",1,1,0,Rare,24.4,Cobalt Group,Cobalt Group,,YES,DNS C2 detectable via query patterns and anomalies,"DNS query length, entropy, frequency, TXT record abuse",YES,C2 over DNS detectable via patterns,DNS tunneling artifacts,PARTIAL,Uses DNS (or DoH) for C2,"High-frequency DNS queries, unusual domains",YES,C2 over DNS visible in query structure,"TXT records, long subdomains"
T1016.001,Internet Connection Discovery,"Adversaries may check for Internet connectivity on compromised systems. This may be performed during automated discovery and can be accomplished in numerous ways such as using [Ping](https://attack.mitre.org/software/S0097), <code>tracert</code>, and GET requests to websites, or performing initial s...",discovery,"Windows, Linux, macOS, ESXi",1,0,1,Rare,24.4,QakBot,,QakBot,YES,Internet connectivity check generates network traffic,HTTP/ICMP to known endpoints,YES,Connectivity tests generate traffic,"Test requests, pings",NO,Discovers internet connection details locally,None,YES,Connectivity check visible (Google/Bing),HTTP GET to captive portal/search
